Day,widget_id,Hour Of Day,Visits,Conversions
2.4.2024,281040,08:00 - 08:59,2,0
4.4.2024,281040,10:00 - 10:59,2,0
4.4.2024,281040,12:00 - 12:59,2,0
7.4.2024,281040,07:00 - 07:59,2,0
12.4.2024,281040,08:00 - 08:59,2,0
14.4.2024,281040,18:00 - 18:59,2,0
1.4.2024,281040,12:00 - 12:59,1,0
1.4.2024,281040,15:00 - 15:59,1,0
1.4.2024,281040,17:00 - 17:59,1,0
1.4.2024,281040,21:00 - 21:59,1,0
2.4.2024,281040,01:00 - 01:59,1,0
2.4.2024,281040,02:00 - 02:59,1,0
2.4.2024,281040,13:00 - 13:59,1,0
2.4.2024,281040,17:00 - 17:59,1,0
3.4.2024,281040,11:00 - 11:59,1,0
4.4.2024,281040,07:00 - 07:59,1,0
4.4.2024,281040,09:00 - 09:59,1,0
7.4.2024,281040,09:00 - 09:59,1,0
11.4.2024,281040,08:00 - 08:59,1,0
11.4.2024,281040,11:00 - 11:59,1,0
12.4.2024,281040,14:00 - 14:59,1,0
12.4.2024,281040,16:00 - 16:59,1,0
13.4.2024,281040,10:00 - 10:59,1,0
13.4.2024,281040,12:00 - 12:59,1,1
13.4.2024,281040,13:00 - 13:59,1,0
13.4.2024,281040,15:00 - 15:59,1,0
14.4.2024,281040,08:00 - 08:59,1,0
14.4.2024,281040,09:00 - 09:59,1,0
14.4.2024,281040,12:00 - 12:59,1,0
15.4.2024,281040,10:00 - 10:59,1,0
15.4.2024,281040,22:00 - 22:59,1,0
11.4.2024,281035,14:00 - 14:59,1,0
14.4.2024,281035,09:00 - 09:59,1,0
14.4.2024,281035,11:00 - 11:59,1,0
4.4.2024,281031,11:00 - 11:59,1,0
11.4.2024,281007,16:00 - 16:59,1,0
4.4.2024,281005,12:00 - 12:59,2,0
11.4.2024,281005,13:00 - 13:59,2,0
11.4.2024,281005,17:00 - 17:59,2,0
13.4.2024,281005,16:00 - 16:59,1,0
13.4.2024,281005,18:00 - 18:59,1,0
24.3.2024,281003,15:00 - 15:59,4,0
15.4.2024,281003,15:00 - 15:59,4,0
26.3.2024,281003,16:00 - 16:59,3,0
15.4.2024,281003,14:00 - 14:59,3,0
25.3.2024,281003,10:00 - 10:59,2,0
26.3.2024,281003,14:00 - 14:59,2,0
26.3.2024,281003,15:00 - 15:59,2,0
26.3.2024,281003,17:00 - 17:59,2,0
27.3.2024,281003,16:00 - 16:59,2,0
15.4.2024,281003,13:00 - 13:59,2,0
22.3.2024,281003,22:00 - 22:59,1,0
24.3.2024,281003,12:00 - 12:59,1,0
24.3.2024,281003,14:00 - 14:59,1,0
25.3.2024,281003,09:00 - 09:59,1,0
25.3.2024,281003,13:00 - 13:59,1,0
26.3.2024,281003,12:00 - 12:59,1,0
26.3.2024,281003,13:00 - 13:59,1,0
26.3.2024,281003,19:00 - 19:59,1,0
26.3.2024,281003,20:00 - 20:59,1,0
27.3.2024,281003,13:00 - 13:59,1,0
27.3.2024,281003,15:00 - 15:59,1,0
27.3.2024,281003,17:00 - 17:59,1,0
27.3.2024,281003,18:00 - 18:59,1,0
27.3.2024,281003,19:00 - 19:59,1,0
27.3.2024,281003,21:00 - 21:59,1,0
3.4.2024,281003,18:00 - 18:59,1,0
3.4.2024,281003,19:00 - 19:59,1,0
11.4.2024,281003,20:00 - 20:59,1,0
13.4.2024,281003,15:00 - 15:59,1,0
26.3.2024,281002,10:00 - 10:59,1,0
24.3.2024,281001,15:00 - 15:59,1,0
22.3.2024,281000,20:00 - 20:59,1,0
4.4.2024,281000,09:00 - 09:59,1,0
11.4.2024,281000,20:00 - 20:59,1,0
12.4.2024,281000,14:00 - 14:59,1,0
14.4.2024,281000,13:00 - 13:59,1,0
15.4.2024,281000,14:00 - 14:59,1,0
12.4.2024,280999,11:00 - 11:59,7,0
12.4.2024,280999,10:00 - 10:59,6,0
6.4.2024,280999,08:00 - 08:59,5,0
6.4.2024,280999,11:00 - 11:59,5,0
7.4.2024,280999,11:00 - 11:59,5,0
11.4.2024,280999,19:00 - 19:59,5,0
12.4.2024,280999,13:00 - 13:59,5,0
26.3.2024,280999,18:00 - 18:59,4,0
6.4.2024,280999,09:00 - 09:59,4,0
7.4.2024,280999,08:00 - 08:59,4,0
9.4.2024,280999,09:00 - 09:59,4,0
11.4.2024,280999,18:00 - 18:59,4,0
12.4.2024,280999,09:00 - 09:59,4,0
15.4.2024,280999,13:00 - 13:59,4,0
26.3.2024,280999,15:00 - 15:59,3,0
3.4.2024,280999,20:00 - 20:59,3,0
9.4.2024,280999,11:00 - 11:59,3,0
11.4.2024,280999,21:00 - 21:59,3,0
12.4.2024,280999,12:00 - 12:59,3,0
26.3.2024,280999,09:00 - 09:59,2,0
26.3.2024,280999,10:00 - 10:59,2,0
26.3.2024,280999,12:00 - 12:59,2,0
26.3.2024,280999,19:00 - 19:59,2,0
